"Lab","days_since_positive","France-01","France-02","Germany-02","Germany-01","Germany-03","Italy-01","Italy-03","Italy-02","USA-03","USA-08","USA-11","USA-01","USA-04","USA-07","USA-06","USA-02","USA-10","USA-05","USA-09","USA-12","France","Germany","Italy","US"
"white blood cell count (Leukocytes)","13",0.0869565217391304,0.096,0.204819277108434,NA,NA,NA,0.178571428571429,0.237903225806452,NA,0.0600961538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0906148867313916,0.184782608695652,0.215181518151815,0.0353107344632768
"white blood cell count (Leukocytes)","14",0.0923913043478261,0.032,0.132530120481928,NA,NA,NA,0.162698412698413,0.23991935483871,NA,0.0384615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0679611650485437,0.119565217391304,0.211221122112211,0.0225988700564972
"white blood cell count (Leukocytes)","15",0.0489130434782609,NA,0.0963855421686747,NA,NA,NA,0.162698412698413,0.216733870967742,NA,0.0240384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029126213592233,0.0869565217391304,0.196039603960396,0.0141242937853107
"white blood cell count (Leukocytes)","16",0.0434782608695652,NA,0.0963855421686747,NA,NA,NA,0.115079365079365,0.186491935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0258899676375405,0.0869565217391304,0.16039603960396,0
"white blood cell count (Leukocytes)","17",0.0326086956521739,NA,0.072289156626506,NA,NA,NA,0.113095238095238,0.169354838709677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0194174757281553,0.0652173913043478,0.148514851485149,0
"white blood cell count (Leukocytes)","18",0.0434782608695652,NA,0.0843373493975904,NA,NA,NA,0.0734126984126984,0.165322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0258899676375405,0.0760869565217391,0.132673267326733,0
"white blood cell count (Leukocytes)","19",0.0217391304347826,NA,0.0481927710843374,NA,NA,NA,0.0912698412698413,0.137096774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129449838187702,0.0434782608695652,0.12013201320132,0
"white blood cell count (Leukocytes)","20",0.0108695652173913,NA,0.0240963855421687,NA,NA,NA,0.0634920634920635,0.115927419354839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00647249190938511,0.0217391304347826,0.097029702970297,0
"white blood cell count (Leukocytes)","21",0.0108695652173913,NA,NA,NA,NA,NA,0.0615079365079365,0.101814516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00647249190938511,0,0.0871287128712871,0
"white blood cell count (Leukocytes)","22",0.0108695652173913,NA,NA,NA,NA,NA,0.0515873015873016,0.0897177419354839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00647249190938511,0,0.0759075907590759,0
